codigo|nombre|latitud|longitud|ubicacion|altitud
ZC|Ulldeter (2.410 m)|42.42117|2.24565|Ulldeter|2410
CL|Sant Salvador de Guardiola|41.67399|1.76796|Urbanització Miralda|349
XT|Solsona|41.98766|1.51165|Magatzem Municipal|691
X8|Barcelona - Zona Universitària|41.37919|2.1054|Pistes UB|79
UN|Cassà de la Selva|41.87449|2.92694|Finca Mas Bassets|171
WR|Torroja del Priorat|41.2163|0.79748|"Ref.cadastral: Pol. 3, parc. 38"|300
Y5|Navata|42.22793|2.86295|Can Tries|152
VE|Aitona|41.48692|0.46058|Camí del canal de Seròs|97
UC|Monells|41.97726|2.99705|Finca Camps i Armet - Escola Capacitació Agrària|60
DG|Núria (1.971 m)|42.39848|2.15517|Santuari de Núria|1971.4
XH|Sort|42.40533|1.12993|Escola de Piragüisme|679
V5|Perafita|42.03947|2.11993|Finca la Tria|774
VN|Vilobí d'Onyar|41.88244|2.74262|Camps de Can Salvà|117
C7|Tàrrega|41.66695|1.16234|Abocador comarcal|427
YJ|Lleida - la Femosa|41.58462|0.64172|la Gabarrera|170
VZ|Espolla|42.38443|3.00736|"Llaurants. Ref. Cadastral: Pol. 5, parc.195"|83
WS|Viladrau|41.84008|2.41877|Mas Vilarmau|953
CP|Sant Romà d'Abella|42.13924|1.03893|Sant Romà d'Abella - el Tossal|690
CR|la Quar|42.08032|1.9624|Sant Maurici|873
VQ|Constantí|41.1713|1.16774|IRTA - Centre de Mas Bové. Apt. correus 415|112
CI|Sant Pau de Segúries|42.25839|2.36429|Estació meteorològica municipal|852
U4|Castellnou de Bages|41.83094|1.84699|Masia Can Vilaseca|507
MQ|Cardona|41.92047|1.69584|Boca nord del túnel de desviament del Cardener|402
DB|el Perelló|40.87287|0.71581|Dipòsit d'aigua|179
D7|Vinebre|41.18499|0.59376|Partida de Mallols|53
WZ|Cunit|41.20187|1.63346|-|17
WP|Canaletes|41.48518|1.69337|Camp del Roure - Can Feixes|325
W5|Oliana|42.07683|1.31489|Partida Esclotes|490
UA|l'Ametlla de Mar|40.9091|0.76943|Caseta d'en Butxaca|93
Y7|Port de Barcelona - Bocana Sud|41.31725|2.16537|Port de Barcelona|3
X6|Baldomar|41.92173|1.02901|Baldomar|366
XE|Tarragona - Complex Educatiu|41.10393|1.201|Complex Educatiu|5
XB|la Llacuna|41.4779|1.53529|Cal Mateu|584
XZ|Torroella de Fluvià|42.18139|3.06202|-|7
DO|Castell d'Aro|41.80857|3.03241|Parc de Bombers|14
V8|el Poal|41.67279|0.87741|"Finca el Molinet, c. Afores, s/n"|223
